id,account_age,no_of_follower,no_of_following,no_user_fav,no_list,no_tweet,num_char,num_digit,num_url,num_hashtag,num_user_mention,num_rt,is_spam
0,3567,785,1123,5317,19,145,88,0,1,0,0,0,False
1,143,19,87,2,0,28,61,0,1,0,0,0,False
2,25,3,66,18,0,109,43,0,1,0,0,0,False
3,365,324,431,88645,3,111493,46,4,1,1,3,878,False
4,365,324,431,88645,3,111493,46,4,1,1,3,878,False
5,822,830,1301,13980,85,62359,85,1,1,0,1,13,False
6,248,735,680,326,2,20134,56,0,2,0,1,1,False
7,749,3718,4998,152843,252,257390,77,0,1,0,1,37,False
8,620,13891,14963,14687,27,6263,36,0,1,0,0,1,False
9,3019,1290,583,12469,85,12965,10,0,1,0,0,0,False
10,2905,176,263,799,37,4525,36,2,2,0,0,0,False
11,2224,337,110,58588,3,146051,46,4,1,1,3,878,False
12,336,730,459,10903,5,14188,69,0,1,0,0,0,False
13,444,1222,1245,49081,7,44028,38,0,1,1,0,0,False
14,1486,27,158,1424,0,1790,30,0,1,0,0,0,False
15,635,151,431,2782,1,4084,73,0,2,0,0,0,False
16,676,4041,4155,5982,443,82948,81,1,1,0,1,5,False
17,949,1559,2543,82104,15,84314,46,4,1,1,3,878,False
18,1635,809,1473,1757,31,18177,40,0,1,1,2,227,False
19,2807,157,338,12856,0,7096,46,4,1,1,3,878,False
20,1084,78,236,9544,0,242,56,0,1,0,2,11,False
21,1290,144,467,8710,5,8056,46,4,1,1,3,878,False
22,1290,144,467,8710,5,8056,46,4,1,1,3,878,False
23,3480,557,3088,10839,4,58688,46,4,1,1,3,878,False
24,2700,29010,26147,20204,151,517872,55,0,1,0,0,0,False
25,1848,94,77,79,0,213,76,2,1,0,0,0,False
26,977,319,598,5518,6,5556,30,6,3,0,1,398,False
27,1570,954,477,19212,2,14692,45,0,1,4,1,27,False
28,2098,6405,3487,128229,241,337719,26,0,1,2,2,1,False
29,1733,108,212,3153,18,14102,36,0,1,0,1,0,False
30,2990,271,405,17,26,30018,58,4,1,0,1,0,False
31,1574,3901,4323,100754,76,95257,46,4,1,1,3,878,False
32,1574,3901,4323,100754,76,95257,46,4,1,1,3,878,False
33,2650,7188,4176,16785,153,75396,46,4,1,1,3,878,False
34,3386,2515,448,262,108,20992,94,0,1,0,0,0,False
35,2174,6149,6474,50025,15,83968,46,4,1,1,3,878,False
36,3687,7940,8520,140655,145,140100,46,4,1,1,3,878,False
37,3327,40146,44082,29537,399,506380,53,4,1,0,1,1,False
38,2200,1708,1949,57225,34,65032,46,4,1,1,3,878,False
39,2801,1519,2396,319,44,27767,41,0,2,0,1,0,False
40,1187,225,54,115,56,91759,65,0,1,0,0,0,False
41,3484,125,82,498,17,26082,86,0,1,0,0,0,False
42,3484,125,82,498,17,26082,89,0,1,0,0,0,False
43,3484,125,82,498,17,26082,89,0,1,0,0,0,False
44,623,24,62,3,3,33059,53,4,1,0,1,0,False
45,1630,208,299,6578,3,2461,46,4,1,1,3,878,False
46,3006,977,2525,28526,209,15852,44,0,2,0,2,11,False
47,2801,1519,2396,319,44,27767,37,0,2,1,1,0,False
48,2908,1777,2236,60591,141,171756,49,0,1,3,2,4,False
49,3314,3976,4969,169473,11,145466,79,0,2,0,0,1,False
50,3059,2678,3113,148675,20,58932,46,4,1,1,3,878,False
51,2885,3244,3808,5329,7,17041,34,0,1,0,0,0,False
52,3270,1395,607,30063,87,120030,46,4,1,1,3,878,False
53,536,1665,2372,224078,8,134416,46,4,1,1,3,878,False
54,3484,199,943,20762,44,20237,52,4,1,0,1,1,False
55,494,2188,2778,27330,2,8493,49,0,1,3,2,4,False
56,1214,362,207,194568,3,39496,46,4,1,1,3,878,False
57,2544,7428,215,61,144,54868,65,0,1,0,0,0,False
58,2544,7428,215,61,144,54868,65,0,1,0,0,0,False
59,2998,1730,4997,68074,92,164202,49,0,1,3,2,4,False
60,3365,1658,4966,6511,18,27164,40,0,1,0,0,0,False
61,1869,659,433,83202,2,104324,17,0,1,0,2,0,False
62,3554,39744,40082,7516,696,226243,42,0,2,3,1,4,False
63,1649,5583,5512,25753,30,41602,46,4,1,1,3,878,False
64,1231,898,595,10631,21,13500,4,0,1,0,2,0,False
65,2460,2414,3965,6213,53,6731,32,0,1,2,1,1,False
66,3561,2301,3752,40926,41,43677,46,4,1,1,3,878,False
67,977,181,179,8235,16,19915,54,0,1,0,1,86,False
68,2931,16,40,133,1,1536,7,0,1,0,0,0,False
69,3320,1222,1917,18721,9,63745,30,6,3,0,1,398,False
70,283,779,851,2240,3,1206,81,0,1,0,1,3,False
71,3359,1462,4972,71046,9,40346,64,0,1,0,3,1,False
72,503,1172,2343,75562,3,58907,36,0,1,0,1,4,False
73,503,1172,2343,75562,3,58907,36,0,1,0,1,4,False
74,575,1215,629,25387,5,60415,36,0,1,0,1,4,False
75,396,3725,4017,13321,4,14482,36,0,1,0,1,4,False
76,252,2789,5001,11335,3,16724,34,0,1,0,0,4,False
77,862,466,679,23495,5,19152,85,1,1,0,1,13,False
78,474,3106,3086,48244,34,27003,46,4,1,1,3,878,False
79,1231,898,595,10631,21,13500,33,0,1,0,2,0,False
80,2495,6612,6671,22775,288,135920,46,4,1,1,3,878,False
81,1231,898,595,10631,21,13500,39,0,1,1,0,0,False
82,2572,382,744,22009,17,6385,67,0,1,0,1,1,False
83,3322,955,1301,75292,7,31831,46,4,1,1,3,878,False
84,629,300,11,144,19,66393,65,0,1,0,0,0,False
85,678,20350,20146,3094,70,426702,55,0,1,0,0,0,False
86,2079,4022,4989,115579,94,106719,45,0,1,0,1,1987,False
87,2448,74,101,0,20,142039,50,4,1,0,0,0,False
88,3394,78,249,1898,4,6735,10,0,1,0,1,1,False
89,244,5497,5846,37873,27,27808,85,1,1,0,1,13,False
90,3517,315,274,135,1,490,16,0,1,0,0,0,False
91,3517,315,274,135,1,490,16,0,1,0,0,0,False
92,2969,9265,2800,23268,385,561861,46,4,1,1,3,878,False
93,143,15,135,1,0,26,71,0,1,0,0,0,False
94,430,10,124,573,0,528,35,0,1,0,2,1,False
95,3103,808,403,4136,21,74307,78,0,1,0,1,2,False
96,3463,5754,83,2664,157,2993,46,4,1,1,3,878,False
97,3425,998,1888,13,42,14961,23,0,1,0,0,0,False
98,2158,4728,2774,461,53,37746,85,1,1,0,1,13,False
99,2149,1147,924,86435,67,61017,46,4,1,1,3,878,False
100,1313,1150,2695,12005,74,27495,83,0,1,0,0,0,False
101,398,4956,5424,80929,6,112714,30,6,3,0,1,398,False
102,1184,1110,167,71600,97,180972,72,0,1,0,1,31,False
103,1184,1110,167,71600,97,180972,72,0,1,0,1,31,False
104,3416,26021,27334,2,392,5190,54,0,1,4,1,0,False
105,3722,11975,78,103,112,11683,65,0,1,0,0,1,False
106,1171,1071,215,57395,11,58654,69,0,1,0,1,7,False
107,124,194,326,653,6,3217,56,4,2,0,1,0,False
108,3111,398920,272,473,2770,22929,98,0,1,0,0,4,False
109,1432,89,115,11056,0,4437,46,4,1,1,3,878,False
110,1906,829,1708,2472,67,72457,10,0,1,0,1,9,False
111,3365,691,379,861,17,1314,46,4,1,1,3,878,False
112,3365,691,379,861,17,1314,46,4,1,1,3,878,False
113,3446,112,445,4574,1,3637,30,6,3,0,1,402,False
114,738,25739,22913,4748,119,434864,55,0,1,0,0,0,False
115,2496,80,160,2899,0,1207,40,0,1,1,2,227,False
116,2146,1879,180,88568,24,216483,24,0,1,0,0,0,False
117,2416,3171,3792,40338,212,35905,46,4,1,1,3,878,False
118,1476,12661,12704,22420,714,286989,42,0,1,0,1,1,False
119,768,1316,862,33155,52,48390,20,0,1,0,2,0,False
120,1969,704,5002,14374,21,33747,36,0,1,0,0,0,False
