id,account_age,no_of_follower,no_of_following,no_user_fav,no_list,no_tweet,num_char,num_digit,num_url,num_hashtag,num_user_mention,num_rt,is_spam
0,3420,304,254,19281,18,17692,56,0,1,0,0,0,False
1,504,701,4924,1,5,7513,10,0,1,0,0,0,False
2,1871,33001,154,6,188,48765,60,4,1,0,0,0,False
3,676,567,5002,12076,13,67188,75,0,1,1,1,1,False
4,1905,265,263,5,5,6666,10,0,1,1,0,0,False
5,2460,70,57,40,1,1019,75,0,2,0,0,0,False
6,2370,49,159,37,3,3886,92,8,0,0,1,1,True
7,2469,305,427,162,1,1183,75,0,2,0,0,0,False
8,44,40,262,777,1,446,49,4,1,0,0,0,True
9,1178,431,1608,15403,7,10216,8,0,2,0,1,12,False
10,627,591,438,26431,9,6037,43,0,1,0,0,0,False
11,0,0,0,0,0,4,59,0,1,1,1,48,False
12,2304,145,1044,38133,0,2431,8,0,1,0,1,7,False
13,3418,17576,10,406560,1038,878070,45,0,1,0,1,1,False
14,12,0,0,0,0,3,59,0,1,1,1,48,False
15,408,24,71,241,0,489,44,0,1,1,3,7,False
16,1888,696,624,70120,16,73374,85,0,1,0,1,35,False
17,3508,1893363,377,103,3575,466693,72,2,1,2,0,1,False
18,2846,216,785,1455,9,10060,10,0,1,2,0,0,False
19,3299,3270,3499,84382,185,206492,85,0,1,0,1,35,False
20,427,442,429,19703,1,18395,61,2,1,2,1,8,False
21,1820,21,84,13,1,213,61,2,1,2,1,8,False
22,2808,3579,3779,1472,5,12193,57,0,1,4,1,6,False
23,2879,650,3778,91,158,60336,66,7,1,0,1,36,False
24,2197,541,383,8278,0,57405,57,0,1,4,1,6,False
25,1500,89559,394,347,338,71694,57,0,1,4,1,6,False
26,3019,1023382,231,14,75,60561,59,2,1,4,0,0,False
27,1664,677,762,99531,9,42945,61,2,1,2,1,8,False
28,3356,6480102,736,3056,6516,494757,48,0,2,4,0,6,False
29,3353,10876891,19,0,11748,491648,44,2,1,3,1,3,False
30,2670,557588,16,1,432,110176,59,4,1,2,0,3,False
31,643,383,942,66075,10,39018,61,2,1,2,1,8,False
32,3391,751,887,144,347,38892,33,0,2,0,0,0,False
33,2549,439445,699,22,606,161504,50,4,1,4,0,0,False
34,1232,10585,987,112012,1172,419601,32,0,2,2,1,7,False
35,1232,10585,987,112012,1172,419601,61,2,1,2,1,8,False
36,2984,253,140,18317,5,5619,61,2,1,2,1,8,False
37,3323,1678755,361,95,2457,195795,53,2,2,1,0,8,False
38,318,57,187,5223,1,3132,46,2,1,3,1,3,False
39,3600,1551,4997,5,44,10614,46,2,1,3,1,3,False
40,3017,84,261,565,1,218,47,0,1,4,1,4,False
41,2648,3120,4489,96771,174,269785,66,7,1,0,1,36,False
42,2720,861,1494,24361,94,40433,33,0,1,0,1,0,False
43,1915,344,736,3966,15,8820,47,0,1,4,1,4,False
44,3347,2861310,606,252,4452,452078,46,2,1,3,1,3,False
45,1500,89559,394,347,338,71694,47,0,1,4,1,4,False
46,3356,6480102,736,3056,6516,494757,45,0,1,4,0,4,False
47,1789,71433,318,25,456,114574,44,2,1,3,0,3,False
48,2720,861,1494,24361,94,40433,31,0,1,0,2,0,False
49,595,2372,5001,975,37,4526,85,0,1,0,1,35,False
50,2549,439445,699,22,606,161504,56,4,1,4,0,2,False
51,3390,3165,5000,42172,62,58954,75,0,1,1,1,1,False
52,337,324,268,29856,0,21317,32,0,2,2,1,7,False
53,2720,861,1494,24361,94,40433,27,0,1,0,0,1,False
54,3347,2861310,606,252,4452,452078,43,2,1,3,1,1,False
55,2796,2632,2622,20144,359,316088,85,0,1,0,1,35,False
56,148,70,202,2860,0,1525,61,2,1,2,1,8,False
57,3105,3,44,49,0,44,44,2,1,3,1,3,False
58,3145,9199,1686,6147,967,828079,44,2,1,3,1,3,False
59,2903,37,83,810,1,242,71,4,1,0,0,0,False
60,2573,436,408,489,3,13479,58,2,1,4,1,1,False
61,546,18,112,1185,0,4262,31,0,1,1,1,66,False
62,2425,205,681,625,4,1319,82,0,1,0,1,14,False
63,3277,1350,4996,49584,37,35726,22,3,0,0,0,0,False
64,606,263,946,16525,0,5110,82,0,1,0,1,39,False
65,523,237,117,26249,2,25936,82,0,1,0,1,14,False
66,2058,841,164,114,11,3975,82,0,1,0,1,14,False
67,3346,703,964,7883,7,37643,82,0,1,0,1,14,False
68,893,196,533,2061,0,276,82,0,1,0,1,14,False
69,1341,93,358,11970,2,11173,82,0,1,0,1,14,False
70,785,2732,995,46979,38,86846,82,0,1,0,1,14,False
71,1362,251,619,879,0,3363,82,0,1,0,1,14,False
72,2566,1752,404,1518,50,168689,82,0,1,0,1,14,False
73,2658,437,231,75,166,72407,65,0,1,1,1,1,False
74,41,34,245,1,0,338,72,0,1,0,0,0,False
75,3085,3787,441,1429,110,51780,49,0,1,0,0,0,False
76,2823,2285,3018,46254,34,29317,77,0,1,1,1,1,False
77,1229,49,139,68,12,31,44,0,1,0,1,0,False
78,3401,10633,570,675,470,36749,63,0,1,1,0,1,False
79,1165,70001,66718,55922,201,307889,39,0,1,6,1,9,False
80,2176,232,391,18519,18,24684,16,0,1,0,0,0,False
81,1057,857,1634,1358,66,139434,60,0,1,0,0,0,False
82,1057,857,1634,1358,66,139434,62,5,1,0,0,0,False
83,1057,857,1634,1358,66,139434,43,2,1,0,0,0,False
84,2091,11239,1449,1094,56,30657,8,4,1,1,1,0,False
85,3163,5711,6240,390,135,6181,56,0,2,2,0,0,False
86,2779,55,120,1202,14,2230,75,0,1,0,1,5,False
87,1664,101,54,3300,5,4109,75,0,1,0,1,5,False
88,910,2,55,3,0,751,38,0,1,0,0,0,False
89,1840,1077,4992,57602,119,105134,61,2,2,0,1,9,False
90,3052,1880,923,1391,53,96996,38,3,1,1,4,6,False
91,2195,35,106,181,0,866,34,0,1,0,1,0,False
92,2895,126,36,22,1,223,17,0,1,0,0,0,False
93,1759,93380,1466,7744,542,47796,55,2,2,0,0,1,False
94,3167,427,852,255,19,10389,11,0,1,2,0,0,False
95,3300,266,13,31,128,58807,55,4,1,1,1,3,False
96,1642,229,226,183,20,53646,43,0,2,0,2,3,False
97,3221,420,2054,556,4,919,84,0,1,0,0,0,False
98,2704,375,395,47718,9,23307,11,0,1,0,1,0,False
99,3414,1395,4995,36139,1,56351,85,0,1,0,1,35,False
100,5,15,45,406,0,203,57,2,1,0,0,0,False
101,2082,205,158,13389,36,14389,66,7,1,0,1,36,False
102,3557,90,339,283,3,3999,81,0,1,0,1,8,False
103,0,0,0,0,0,5,59,0,1,1,1,47,False
104,3509,321,149,250,17,8251,58,0,1,2,0,0,False
105,52,60,735,3184,0,398,81,0,1,0,1,8,False
106,2060,204,211,4114,0,727,66,7,1,0,1,36,False
107,2902,165,263,16069,11,28598,20,0,1,0,0,1,False
108,1476,9,51,98,0,429,67,0,1,2,1,22,False
109,1476,9,51,98,0,429,61,2,1,2,1,8,False
110,1280,479,780,16221,14,5890,64,0,1,0,2,1,False
111,1576,34,151,860,1,2236,38,0,2,2,1,162,False
112,3680,9957,1835,3111,255,60580,79,0,1,0,0,1,False
113,730,448,270,5101,91,150806,38,0,2,2,1,5,False
114,2434,1629,2061,1203,11,42168,58,0,2,0,0,0,False
115,0,1,16,0,0,12,16,0,1,0,1,0,False
116,0,1,16,0,0,12,20,0,1,0,2,0,False
117,2223,1605,2068,60292,203,102592,75,4,1,0,0,0,False
118,0,1,16,0,0,12,20,0,1,0,1,0,False
119,0,1,16,0,0,13,16,0,1,0,1,0,False
120,0,1,16,0,0,16,24,0,1,0,1,0,False
121,0,1,16,0,0,16,21,0,1,0,1,0,False
122,2441,546,296,11462,4,12128,38,0,2,2,1,173,False
123,757,935,389,177413,35,109218,24,1,1,0,1,3,False
124,2110,926,1548,3,0,2934,39,0,1,6,1,10,False
125,10,48,156,3233,2,363,24,1,1,0,1,3,False
126,2194,66,216,820,1,1666,16,0,3,2,1,3,False
127,1194,72,520,8241,0,875,24,1,1,0,1,3,False
128,272,3572,316,4290,22,1637,22,1,1,0,0,3,False
129,3098,92,201,173,4,5416,58,0,1,1,1,2,False
130,3511,1893715,377,103,3579,466963,31,0,1,5,0,1,False
131,890,1983,4097,1418,9,19310,40,0,2,0,0,0,False
132,3263,911,739,8,26,23483,79,0,1,0,0,0,False
133,1080,6,88,372,5,3861,33,0,2,4,0,0,False
134,2791,76,89,5,1,8119,49,0,1,0,1,12,False
135,2827,129988,889,7788,1551,18163,49,0,1,0,1,12,False
136,647,317,123,1054,1,1146,22,0,1,1,0,0,False
137,3508,2717,933,11541,152,17209,16,0,1,0,0,0,False
138,952,57,240,5976,0,7486,37,0,1,1,3,4,False
139,3140,343504,504,458,1264,499751,37,4,1,3,0,0,False
140,1378,172,285,21968,1,5190,55,4,1,4,1,4,False
141,0,11,346,396,0,394,55,4,1,4,1,4,False
142,2024,1390,1309,11269,20,7317,57,0,2,0,1,11,False
